"","X","Job_Title","Industry","State","Salary","Date","SalaryCleaned","Extra","SalaryUnit","Units"
"371",371,"Data Analyst","(Information & Communication Technology)","NSW","$60,000 – $65,000 per year","10d ago",60000,NA,"PerYear","No"
"383",383,"Siemens Team Centre / CMTL - UI & Data Developer","(Information & Communication Technology)","VIC","$900 - $1100 per day","3d ago",237600,NA,"PerDay","No"
"386",386,"Data Platform Developer","(Information & Communication Technology)","NSW","$139000 per annum","16d ago",139000,NA,"PerYear","No"
"390",390,"Siemmens Teamcenter CMTL/ UI and Data Developer","(Information & Communication Technology)","VIC","$1150 a day","13h ago",303600,NA,"PerDay","No"
"393",393,"Data Specialist Pool","(Science & Technology)","WA","$110,309 – $136,891 per year","9d ago",110309,NA,"PerYear","No"
"406",406,"Solution Architect - Data","(Information & Communication Technology)","QLD","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
"412",412,"Solution Architect - Data","(Information & Communication Technology)","QLD","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
"420",420,"Senior SQL Data Developer - GCP/Python CONTRACT up to $900-$1000 per day","(Information & Communication Technology)","NSW","$1000 per day","25d ago",264000,NA,"PerDay","No"
"428",428,"Solution Architect - Data","(Information & Communication Technology)","QLD","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
"453",453,"Developer Programmer - 261312 \ Developer (Other)","(Information & Communication Technology)","NSW","$140,000 – $160,000 per year","12d ago",140000,NA,"PerYear","No"
"454",454,"Solution Architect - Data","(Information & Communication Technology)","Far","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
"457",457,"Clinical Bioinformatician (Technical)","(Science & Technology)","ACT","$122,133 - $127,967 per annum plus 17% super","23d ago",122133,NA,"PerYear","No"
"461",461,"PhD Scholarship - Investigation of AI techniques","(Education & Training)","VIC","$33,000 per annum (tax-free stipend)","19d ago",33000,NA,"PerYear","No"
"466",466,"Solution Architect - Data","(Information & Communication Technology)","Bay","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
"468",468,"Senior Analytics Adivser","(Information & Communication Technology)","CBD","$700 - $740 p.d. incl. super","3d ago",184800,NA,"PerDay","No"
"487",487,"Laboratory Technician","(Science & Technology)","NSW","$50,000 – $70,000 per year","4d ago",50000,NA,"PerYear","No"
"495",495,"Senior Policy Advisor- Indigenous Data Sovereignty","(Community Services & Development)","NSW","$90,000 – $120,000 per year","19d ago",90000,NA,"PerYear","No"
"500",500,"Solution Architect - Data","(Information & Communication Technology)","QLD","$151K - $188K per annum + superannuation","11d ago",151000,NA,"PerYear","Yes"
